,Timestep 1,Timestep 2,Timestep 3,Timestep 4,Timestep 5,Timestep 6,Timestep 7,Timestep 8,Timestep 9,Timestep 10,Timestep 11,Timestep 12,Timestep 13,Timestep 14,Timestep 15,Timestep 16,Timestep 17,Timestep 18,Timestep 19,Timestep 20,Timestep 21,Timestep 22,Timestep 23,Timestep 24,Timestep 25,Timestep 26,Timestep 27,Timestep 28,Timestep 29,Timestep 30,Timestep 31,Timestep 32,Timestep 33,Timestep 34,Timestep 35,Timestep 36,Timestep 37,Timestep 38,Timestep 39,Timestep 40,Timestep 41,Timestep 42,Timestep 43,Timestep 44,Timestep 45,Timestep 46,Timestep 47,Timestep 48,Timestep 49,Timestep 50
T0000644.sel.15.sine.3.1.social_1,16403.8508153027,16667.3171586474,16675.6901301924,16386.1068493373,16070.2748330753,15938.751564232,15873.3941397304,15873.3941397304,15743.4821931967,15743.4821931967,15743.4821931967,15743.4821931967,15743.4821931967,15743.4821931967,15743.4821931967,15743.4821931967,15805.6588984555,15808.3047157005,15808.3047157005,15917.4103643947,15974.9131207214,16032.6195528469,16223.3060791374,16632.481489766,17379.5407540693,17654.2456806779,17808.8484550925,18029.7349523752,18253.3611464331,18403.9840930097,18504.6063833442,18632.2521695561,18715.2573519546,18860.1943611857,18941.0198315918,19097.3171948727,19222.6775861893,19371.5513407541,19521.573133894,19672.7517752379,19825.0961416325,19978.6220621388,20050.8088912144,20145.1673400122,20228.1134473101,20311.4010785379,20364.3102091909,20415.5969223749,20647.9950536848,20904.0960202812
T0000644.sel.15.sine.3.1.social_1,24436.6936053226,24490.0817515583,24644.5511307897,24739.7865127199,24752.2596656712,24908.447982655,24981.7400027143,25223.7320753383,25382.8658811446,25543.0053312362,25598.7650108537,25671.8082334302,25710.6373951696,25777.5098403875,25777.5098403875,25777.5098403875,25883.6466652153,25883.6466652153,25883.6466652153,25883.6466652153,25948.8959517498,25883.6466652153,25883.6466652153,25883.6466652153,25883.6466652153,25990.2204998883,25990.2204998883,25990.2204998884,25990.2204998883,25990.2204998883,25990.2204998884,25942.3710230964,25883.6466652153,25883.6466652153,25879.3145499162,25777.5098403875,25766.7239621265,25671.8082334302,25566.540059717,25493.7963535038,25461.7035419391,25382.8658811446,25268.5374324715,25046.6387384602,25011.006515137,24943.9340947639,24800.0734186514,24644.5511307897,24490.0817515583,24336.4900635997
T0000644.sel.15.sine.3.1.social_1,21780.9292974357,21691.6158128509,21580.9748830523,21481.6789574095,21207.8318681645,20970.9823253471,20841.1195318296,20660.1402622552,20563.3272067463,20386.4979091422,20126.6231395674,20005.5949910628,19697.5250933831,19493.7264913755,19356.9296557066,19188.8395455646,19022.2042536805,18779.7132644833,18693.3124803081,18555.8499488703,18445.7387252797,18360.8605505974,18224.4325754224,18178.5125820257,18108.5347110453,18103.9709368509,18103.9709368509,18103.9709368509,18135.9173562115,18178.5125820257,18228.9207988715,18253.3611464331,18397.8235869508,18407.0770287334,18492.1837007924,18577.6791547806,18663.5651494289,18749.8434513603,18836.5158351243,18923.5840832331,19019.0079583106,19175.9488634219,19345.557234003,19434.998936734,19605.2412067398,19735.5108478725,19868.3908951663,19980.2941012235,20576.3092948106,20647.9950536848
T0000644.sel.15.sine.3.1.social_1,16539.211986606,16598.9722247013,16658.9441871024,16675.6901301924,16675.6901301924,16675.6901301924,16675.6901301924,16685.4988178717,16744.3509439479,16744.3509439479,16813.2944630852,16813.2944630852,16882.5218516211,16910.8942707002,16952.0342783649,17033.2755338949,17091.9189457963,17091.9189457963,17162.2935482445,17232.9579124617,17272.0557413299,17334.4478623245,17375.1607033988,17446.7015310176,17518.5369222438,17590.6680899194,17590.6680899194,17663.0962518801,17663.0962518801,17735.8226309761,17759.6677980345,17823.8130473532,17882.17495717,17955.803375226,18178.5125820257,18253.3611464331,18328.5178937882,18403.9840930097,18328.5178937882,18387.0427013477,18253.3611464331,17957.3121829229,17601.0149701995,17322.8156220175,17076.2972433633,16848.614559277,16838.7249323433,17249.5368235096,18356.3544719615,18555.8499488703
T0000644.sel.12.sine.3.1.social_1,16744.3509439479,16016.920932687,15339.5246127492,14987.4195106658,14641.9768679973,14217.2820358963,13861.7399365314,13747.1367284215,13747.1367284215,13747.1367284215,13782.9466191552,13803.739458936,13915.3156713637,14039.5653831733,14164.927887854,14457.2596219887,14863.386740363,15171.9109493539,15546.7010833181,15938.751564232,16305.2157079164,16539.211986606,16854.2657746677,17303.9132315188,17518.5369222438,17814.8342919968,18047.9151934713,18253.3611464331,18447.2851931416,18708.9689702445,18941.0198315918,19097.3171948727,19175.9488634219,19254.9042915461,19334.1848122994,19334.1848122994,19343.9326023311,19334.1848122994,19318.0051141865,19254.9042915461,19175.9488634219,19121.3881138163,19019.0079583106,18782.8639017723,18239.6134509297,17808.8484550925,18067.6104546587,18683.9185863463,19709.1401532551,20395.0316398927
T0000644.sel.12.sine.3.1.social_1,17882.17495717,17505.4633917938,17181.3596939542,16722.1217411253,16582.2949489538,16339.3317276716,16099.9829438609,15864.0956505833,15713.2505817179,15657.9321722184,18196.9184196571,15486.839296863,15353.6640141163,15297.106408648,15109.6979823959,15055.3267987378,15047.7401219483,15047.7401219483,15088.202398159,15109.6979823959,15171.9109493539,15261.2627883936,15297.106408648,15335.6684123764,15499.8527287011,15614.6334794981,15703.9576735537,15743.4821931967,15845.498672289,15949.4660994881,16070.2748330753,16136.4428980069,16265.5129397916,16403.8508153027,16547.5506244797,16675.6901301924,16903.8011659304,17014.71060688,17126.3881388322,17303.9132315188,17495.0804679658,17701.7652037528,18436.7255273527,18820.7301510834,19179.1715339576,19413.7917642245,20258.0470308367,20787.0831911755,21675.4280455107,21870.6105231143
T0000644.sel.12.sine.3.1.social_1,19097.3171948727,18557.4091778639,18107.0134529805,17886.6828195,17530.3376838467,17169.5041976544,16882.5218516211,16744.3509439479,16675.6901301924,16675.6901301924,16744.3509439479,16866.9810092967,16952.0342783649,17073.3246932422,17253.2308607637,17446.7015310176,17639.4462398113,17856.7351503268,18076.7005752068,18253.3611464331,18403.9840930097,18479.7610182406,18632.2521695561,18749.8434513603,18863.3514979939,18979.2180977398,19019.0079583106,19097.3171948727,19175.9488634219,19254.9042915461,19254.9042915461,19225.900256725,19097.3171948727,18941.0198315918,18762.4202147805,18610.4229636459,18308.5783485715,18011.6292600121,17735.8226309761,17663.0962518801,17663.0962518801,17663.0962518801,17882.17495717,17964.8562214075,18111.5772271749,18103.9709368509,18103.9709368509,18107.0134529805,18253.3611464331,18328.5178937882
T0000644.sel.11.sine.4.1.social_1,18863.3514979939,18254.8949576036,17882.17495717,17228.6315228158,16454.9193012771,15550.6051128695,15164.2930350326,14672.6917485833,14382.7445541586,13907.1628421501,13848.9761062952,13873.386835408,13931.6788759949,13990.2157446357,14090.2682206562,14341.8217643738,14842.3235092702,15234.3800732028,15645.2702730931,16136.4428980069,16499.0738358257,16813.2944630852,17084.8968738514,17337.3559224012,17808.8484550925,18029.7349523752,18178.5125820257,18253.3611464331,18296.3078592074,18448.8316610035,18526.3460778098,18555.8499488703,18632.2521695561,18632.2521695561,18655.7369044607,18708.9689702445,18708.9689702445,18708.9689702445,18768.7085964906,18786.0016461934,18786.0016461934,18863.3514979939,18941.0198315918,19019.0079583106,19175.9488634219,19413.7917642245,19730.5561842435,19895.0338204179,20143.4815036081,20563.3272067463
T0000644.sel.11.sine.4.1.social_1,17303.9132315188,16889.7429327291,16553.1383277883,16047.4126986509,15834.9265215233,17773.1540379793,17441.1323523337,15360.0910147377,15197.4085509249,15047.7401219483,14955.9379800481,14806.1703891925,14681.2919151473,14630.9195109864,14501.4279761994,14501.4279761994,14501.4279761994,14539.2027187926,14626.0051300926,14713.3669156508,14802.4388880292,14863.386740363,14924.5855405799,14986.0363219376,15095.7890749485,14986.0363219376,14944.6511018395,14917.0918099411,14802.4388880292,14559.9179002146,14533.1100183743,14501.4279761994,14501.4279761994,15234.3800732028,15313.8166102637,15360.0910147377,15497.2500423335,15550.6051128695,15678.9254777798,15743.4821931967,15870.7374285455,16004.3780926757,16231.7089915482,16492.1534650015,16642.2669113549,16896.7080611606,17393.3171115383,18082.0274116621,18521.6875718529,19816.7702274914
T0000644.sel.11.sine.4.1.social_1,18708.9689702445,17984.4707214675,17130.7615697881,16470.6987577978,16077.1484956133,15727.769362809,15380.7420972332,15279.1845985208,15178.2853497467,15171.9109493539,15234.3800732028,15234.3800732028,15234.3800732028,15234.3800732028,15360.0910147377,15486.839296863,15550.6051128695,15743.4821931967,16005.7229241124,16178.4766879097,16336.5862345809,16529.5234674521,16809.206676121,17033.2990909227,17232.9579124617,17446.7015310176,17584.7798313336,17701.6857591556,17882.17495717,17937.7719259062,18057.0053140193,18178.5125820257,18297.841670378,18343.9191589354,18403.9840930097,18479.7610182406,18479.7610182406,18555.8499488703,18479.7610182406,18413.2629001808,18328.5178937882,18245.7235378201,18103.9709368509,17955.803375226,17882.17495717,17963.4835259565,18265.6316357972,18462.7498717602,19285.6457179607,19334.1848122994
T0000644.sel.06.sine.4.1.social_1,19493.7264913755,18809.7902128563,18253.3611464331,17443.7814972372,16786.5612617871,16354.4319396704,16070.2748330753,15845.498672289,15743.4821931967,15881.3970896694,16202.8834046274,16458.9867640588,16675.6901301924,16952.0342783649,17354.8460189792,17663.0962518801,17849.2528541964,18096.3958363942,18422.5417073519,18708.9689702445,19250.0702857426,19677.7064388669,19816.7702274914,19898.3641860744,19898.3641860744,19980.2941012235,19980.2941012235,20032.340731931,20003.7990312204,19980.2941012235,19946.85331953,19735.5108478725,19646.3607638439,19493.7264913755,19430.1049738472,19505.192755942,19654.5846752647,19735.5108478725,19654.5846752647,19493.7264913755,19264.6121104139,18941.0198315918,18708.9689702445,18555.8499488703,18499.9478773872,18602.626818678,18786.0016461934,19042.9801735847,20475.9242643066,21691.6158128509
T0000644.sel.06.sine.4.1.social_1,19254.9042915461,18548.0857722755,19349.205117418,17496.5464963582,17006.4507440921,16537.9646839801,16015.4073875325,15697.3702536132,15498.5513855173,15486.839296863,15486.839296863,15550.6051128695,15564.9788278269,15614.6334794981,15587.192750943,15550.6051128695,15550.6051128695,15597.6463618211,15668.4288249991,15743.4821931967,15876.0617897101,16013.7919127328,16086.4792571402,16226.0291024055,16403.8508153027,16614.4142289903,16789.3752829764,17004.7393727981,17293.7767573678,17443.7814972372,17522.9531161831,17674.9699464264,17808.8484550925,17808.8484550925,17774.571027446,17663.0962518801,17470.1579852955,17303.9132315188,17100.5362440553,16953.4587403766,16744.3509439479,16675.6901301924,16539.211986606,16471.392352529,16403.8508153027,16511.5305033092,16675.6901301924,16952.0342783649,17568.6775402744,17590.6680899194
T0000644.sel.13.sine.4.1.social_1,17232.9579124617,16642.335390982,16314.7123538014,16102.6836812051,15938.751564232,15873.3941397304,15808.3047157005,15873.3941397304,15938.751564232,16070.2748330753,16202.8834046274,16255.9823583535,16333.8519994835,17303.9132315188,17590.6680899194,17841.7705580661,19493.7264913755,19636.4920701389,19654.5846752647,19816.7702274914,19980.2941012235,20062.5613562129,20145.1673400122,20145.1673400122,20145.1673400122,20145.1673400122,19293.8155093449,20164.1285898149,18221.2831902585,18383.9624483183,18893.9526057397,18995.3290324685,18070.70883118,17679.538217097,16776.1029813741,16587.8540408696,16804.8523995174,17091.9189457963,18647.9086594925,18969.6685312028,19217.8435803858,20062.5613562129,19910.0684596671,19735.5108478725,19493.7264913755,19227.5115919928,18941.0198315918,18555.8499488703,22006.414330887,23939.7679649004
T0000644.sel.13.sine.4.1.social_1,19175.9488634219,18777.1839292872,18470.5012351108,17855.7868437921,17500.9806505485,17165.4679837,16926.5514551503,16251.5197804638,15972.3003899136,15643.5587009406,15531.0849651124,15307.3896096423,15234.3800732028,15234.3800732028,15234.3800732028,15294.5461500584,15327.9560116307,15424.6309618595,15521.9755628258,15619.8818058884,15743.4821931967,15882.7309146592,15982.9490221634,16216.4985209674,16453.4731691832,16625.4523009225,16744.3509439479,16952.0342783649,17142.2277437722,17474.5560704726,17864.290981228,18063.0653943847,18251.8336247105,18594.83067371,18708.9689702445,18830.201561508,18871.2768381569,19019.0079583106,19110.1550183093,19230.7342625285,19431.7362948094,19554.3338897981,19677.706438867,19883.3775406204,20062.5613562129,20145.1673400122,20311.4010785379,20553.0233965308,20608.253003081,20647.9950536848
