"behavior","group","start","end","delta","mean","sd"
"Traveling","Group5",12930.3589075525,22799.1440706856,9868.7851631331,15718.8433367783,2953.65502021593
"Traveling","Group5",11890.4923369184,20759.8486908413,8869.3563539229,14220.1237363813,2580.46421089502
"Traveling","Group5",9618.38323690654,19279.5573367627,9661.17409985616,14980.89469899,3693.35356355328
"Traveling","Group5",14772.0036364211,18902.9604063407,4130.9567699196,15670.829939462,1314.37366688702
"Traveling","Group5",14992.1814909194,22353.7973480772,7361.6158571578,17927.2487491247,2051.91749056523
"Traveling","Group5",23253.3632770269,37333.5579186656,14080.1946416387,30037.9736827185,3712.44326043725
"Traveling","Group5",12677.7839449234,13584.0309844148,906.2470394914,12784.9236445741,1427.42429225034
"Traveling","Group5",11773.788244279,18902.9604063407,7129.1721620617,15072.0278652346,2784.95672835644
"Traveling","Group5",13786.5020148316,15906.203394406,2119.7013795744,12574.658932329,1344.87799767902
"Traveling","Group5",12187.3386551142,16546.3039737281,4358.9653186139,14120.1257685013,2087.51333008096
"Traveling","Group5",14061.1655716732,13718.6785572715,342.4870144017,13775.8497726172,408.004440639332
"Traveling","Group5",13450.7049651464,16792.9279117178,3342.2229465714,14223.9127228528,1080.74775072972
"Traveling","Group5",11430.5037469971,18533.7197261441,7103.215979147,15521.7087634749,2422.13594660935
"Traveling","Group5",13123.0869052047,12187.3386551142,935.748250090501,12154.6451280534,466.339880469086
"Traveling","Group5",11543.8051365352,17468.7122342409,5924.9070977057,15044.1574984317,2129.29314300863
"Traveling","Group5",29174.8721618269,35889.2938649026,6714.4217030757,34321.1713255668,1332.36611478996
"Traveling","Group5",19374.8730942788,29174.8721618269,9799.9990675481,26658.0310645593,3153.61212584697
"Traveling","Group7",17297.2584244986,17043.227798541,254.030625957599,17021.2126282546,507.260940042189
"Traveling","Group7",17468.7122342409,18533.7197261441,1065.0074919032,16728.3244504176,632.837775631633
"Traveling","Group7",17127.4874181869,28046.2302245046,10918.7428063177,19458.651331779,3111.1340742354
"Traveling","Group7",16875.9500795436,10005.4481152703,6870.5019642733,13641.961991447,2434.69125782753
"Traveling","Group7",17816.7351504628,17382.7739402797,433.961210183097,16069.0913761435,800.551435464699
"Traveling","Group7",18625.3481543508,15984.8417054036,2640.5064489472,16656.5793871379,826.416237586035
"Traveling","Group7",5816.17711015441,16223.0970049429,10406.9198947885,10929.3874136676,3975.78518008674
"Traveling","Group7",6231.93536176475,20154.5605649106,13922.6252031458,10543.2779018251,3204.22253923258
"Traveling","Group7",22353.7973480772,16143.2865838496,6210.5107642276,18097.7963755908,2160.69626788538
"Traveling","Group7",8336.61286650397,14555.0593532106,6218.44648670663,9956.58423975922,2022.00597197231
"Traveling","Group7",2616.16219770401,19760.8717726749,17144.7095749709,9330.47302239299,4688.21515560662
"Traveling","Group7",17816.7351504628,24671.0411098231,6854.3059593603,24690.9952453768,2050.73797643501
"Traveling","Group7",23483.8551633897,21383.3150208671,2100.5401425226,23572.5220381152,1793.34244503046
"Traveling","Group7",18171.6916029745,23138.9670729969,4967.2754700224,19151.2615700601,1458.91695019797
"Traveling","Group7",9907.24555892049,17729.0847385572,7821.83917963671,14030.7794023128,2648.7810199703
"Traveling","Group7",14555.0593532106,20657.719469439,6102.6601162284,16379.4167379673,1361.59694972914
"Traveling","Group7",19663.6570733565,21383.3150208671,1719.6579475106,18047.0160382513,1084.75618029152
"Traveling","Group7",5844.93157362154,21702.0349818985,15857.103408277,10632.0292901836,4068.87490249154
